project_root,method coverage,branch coverage,line coverage
/home/myeongsoo/run3/test-apps/PySnooper,88.89%,92.59%,62.44%,19.10%
/home/myeongsoo/run3/test-apps/ansible/lib,68.02%,79.82%,33.04%,7.31%
/home/myeongsoo/run3/test-apps/black/src,100.00%,90.00%,67.51%,28.32%
/home/myeongsoo/run3/test-apps/codetiming,100.00%,100.00%,100.00%,12.00%
/home/myeongsoo/run3/test-apps/cookiecutter,25.00%,90.91%,33.33%,0.00%
/home/myeongsoo/run3/test-apps/docstring_parser,100.00%,91.67%,96.89%,79.30%
/home/myeongsoo/run3/test-apps/flutes,95.24%,85.92%,92.86%,19.67%
/home/myeongsoo/run3/test-apps/flutils,96.43%,97.09%,81.96%,29.09%
/home/myeongsoo/run3/test-apps/httpie,41.10%,99.00%,25.12%,0.00%
/home/myeongsoo/run3/test-apps/isort,100.00%,100.00%,100.00%,1.92%
/home/myeongsoo/run3/test-apps/mimesis,98.68%,93.12%,90.84%,0.00%
/home/myeongsoo/run3/test-apps/py-backwards,2.78%,39.00%,2.07%,0.00%
/home/myeongsoo/run3/test-apps/pyMonet,100.00%,83.87%,91.18%,13.43%
/home/myeongsoo/run3/test-apps/pypara,93.75%,96.77%,74.14%,8.11%
/home/myeongsoo/run3/test-apps/python-semantic-release,58.82%,78.12%,29.84%,4.93%
/home/myeongsoo/run3/test-apps/python-string-utils,100.00%,100.00%,100.00%,44.27%
/home/myeongsoo/run3/test-apps/pytutils,26.56%,32.58%,18.93%,0.00%
/home/myeongsoo/run3/test-apps/sty,100.00%,100.00%,97.98%,31.02%
/home/myeongsoo/run3/test-apps/thefuck,100.00%,0.00%,100.00%,0.00%
/home/myeongsoo/run3/test-apps/thonny,97.73%,97.32%,25.66%,0.00%
/home/myeongsoo/run3/test-apps/tornado,95.45%,90.28%,78.68%,0.00%
/home/myeongsoo/run3/test-apps/tqdm,33.33%,20.00%,18.42%,0.00%
/home/myeongsoo/run3/test-apps/typesystem,79.41%,96.77%,84.66%,27.25%
/home/myeongsoo/run3/test-apps/youtube-dl,65.59%,83.30%,17.69%,2.63%
